"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"40",7.92875523591613e-14,1.64579085720488,0.121,0.042,1.55459103910608e-09,"3","TAL2"
"41",1.43938263818331e-56,1.43145830059982,0.645,0.257,2.82219753868601e-52,"4","PVRIG"
"42",1.84320185896786e-29,1.41394671470626,0.256,0.075,3.61396588487828e-25,"4","FAM132A"
"43",7.01223836952596e-28,1.36967564420437,0.366,0.141,1.37488957711296e-23,"4","CH507-9B2.3"
"44",3.99111297972428e-27,1.42714925094101,0.307,0.109,7.8253752193454e-23,"4","SPATA45"
"45",4.16425657899043e-21,1.81449608028446,0.114,0.023,8.16485787442654e-17,"4","TMEM190"
"46",8.05218573741793e-19,1.41978144319768,0.176,0.054,1.57879205753553e-14,"4","TMIGD2"
"47",2.99492265718628e-15,1.40883416137442,0.17,0.059,5.87214485394514e-11,"4","SPRN"
"48",1.55118637071105e-12,1.52567426068853,0.131,0.043,3.04141111705316e-08,"4","ODF4"
"49",2.66407545080454e-12,1.38058057485422,0.116,0.037,5.22345273639245e-08,"4","TPSD1"
"50",5.90272029829317e-08,1.46129569728635,0.108,0.043,0.00115734636888634,"4","FCGR3B"
"51",2.68119432268245e-97,2.0602969723331,0.564,0.089,5.25701770848347e-93,"5","IRX5"
"52",5.22585153863422e-76,1.44956880217263,0.97,0.426,1.02463271118001e-71,"5","MCTP2"
"53",1.62455853215542e-58,1.77444133462011,0.332,0.049,3.18527191399713e-54,"5","CDK20"
"54",2.0934459783233e-50,1.47249147713386,0.767,0.305,4.1046195296985e-46,"5","BCL2A1"
"55",4.80742969494304e-47,1.44516768951765,0.787,0.328,9.42592740287482e-43,"5","SAXO2"
"56",9.61610414700072e-27,1.58574195007475,0.198,0.038,1.88542954010243e-22,"5","OR4D11"
"57",5.72833568942318e-26,1.44308880665547,0.436,0.16,1.1231547786252e-21,"5","HPX"
"58",1.66686471670461e-25,1.49716758824571,0.49,0.195,3.26822165004273e-21,"5","NMB"
"59",3.4282867667288e-20,1.47995169050655,0.332,0.114,6.72184186352515e-16,"5","CDHR5"
"60",5.26058301910217e-18,1.49720258763247,0.243,0.073,1.03144251255536e-13,"5","ZNF43"
"61",0.000170273196143119,1.44655554686731,0.101,0.247,1,"6","PYURF"
"62",0.000756975429874195,1.82509932920137,0.074,0.193,1,"6","PIGY"
"63",0.0036324077242242,1.27832773758135,0.446,0.418,1,"6","ANG"
"64",0.00561356674808468,1.53665662722916,0.216,0.373,1,"6","SEPSECS"
"65",0.00580589505061196,1.21595342974266,0.446,0.424,1,"6","RNASE4"
"66",0.00793089481903211,1.74614011278783,0.358,0.531,1,"6","N4BP2"
"67",0.00899766125931708,1.51155616853585,0.041,0.112,1,"6","CLEC7A"
"68",0.00930831710103078,1.24737376811743,0.595,0.562,1,"6","NEK1"
"69",0.00941829902122157,1.30115525144652,0.27,0.208,1,"6","BACE1"
"70",0.00998614939923875,1.97354526401305,0.101,0.196,1,"6","BRF2"
"71",1.84490483526871e-17,2.87623302863887,0.194,0.041,3.61730491051136e-13,"7","ZNF90"
"72",1.71575102742398e-16,2.33631353838306,0.254,0.067,3.3640730394702e-12,"7","MTRNR2L1"
"73",7.76106470663644e-12,2.4148496674692,0.104,0.018,1.52171195703021e-07,"7","IBSP"
"74",4.65747067993984e-09,2.43032147558748,0.112,0.026,9.13190276215804e-05,"7","DPPA4"
"75",9.3998933519667e-09,2.2717270513741,0.104,0.024,0.000184303708952011,"7","AP006285.2"
"76",1.42619647994488e-07,2.15891914000883,0.127,0.037,0.00279634343822793,"7","TCP10"
"77",8.43022522297519e-06,2.32108824875524,0.104,0.033,0.165291425946874,"7","CNTNAP3B"
"78",4.95566034830691e-05,2.32819852873122,0.209,0.103,0.971656324492535,"7","LRRIQ4"
"79",0.000161450368502669,2.26855263190174,0.119,0.049,1,"7","FBXW10"
"80",0.000551539214866202,2.13346977224146,0.134,0.062,1,"7","PTCRA"
