"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HECTD32",1.9775466153592e-16,0.308729407488616,0.52,0.291,3.87737564873477e-12,"4","HECTD3"
"RRAD",1.99649774552043e-16,0.281591399976859,0.338,0.158,3.9145331296419e-12,"4","RRAD"
"HPF12",2.0324061358186e-16,0.358895586360211,0.517,0.284,3.98493871049953e-12,"4","HPF1"
"CCS2",2.06199977719609e-16,0.533653095034723,0.497,0.276,4.04296296314837e-12,"4","CCS"
"S100A12",2.08053537257447e-16,0.408847427484853,0.213,0.078,4.07930570500676e-12,"4","S100A1"
"COX152",2.1088212436482e-16,0.408831123563435,0.526,0.29,4.13476581242103e-12,"4","COX15"
"YAE1D12",2.14854183649092e-16,0.315145081529044,0.562,0.314,4.21264597880774e-12,"4","YAE1D1"
"CCT22",2.17264083856218e-16,0.382949256755977,0.58,0.323,4.25989689216886e-12,"4","CCT2"
"FBXO471",2.21057464378836e-16,0.494897608980328,0.276,0.118,4.33427370407585e-12,"4","FBXO47"
"ADGRG72",2.26716695092399e-16,0.371679395251056,0.474,0.252,4.44523424067666e-12,"4","ADGRG7"
"IKZF52",2.28316248546393e-16,0.350759970136807,0.599,0.342,4.47659668524912e-12,"4","IKZF5"
"SOCS22",2.32992242198969e-16,0.509362299126287,0.52,0.289,4.56827889279519e-12,"4","SOCS2"
"COPS52",2.46461160053758e-16,0.437678853913121,0.662,0.395,4.83236396517404e-12,"4","COPS5"
"OSGEPL12",2.49485623520338e-16,0.496266815812076,0.509,0.275,4.89166462036327e-12,"4","OSGEPL1"
"ARHGDIB2",2.49762368744248e-16,0.315616956809797,0.759,0.445,4.89709076396846e-12,"4","ARHGDIB"
"KLHDC8A",2.58039195881934e-16,0.26346709419638,0.347,0.164,5.05937451365708e-12,"4","KLHDC8A"
"ASB16",2.62383823089544e-16,0.331748050012741,0.293,0.13,5.1445596193167e-12,"4","ASB16"
"C16orf921",2.66203332421565e-16,0.693915206312953,0.256,0.105,5.21944873878962e-12,"4","C16orf92"
"PRELID3B2",2.67320066855836e-16,0.574499596787898,0.449,0.236,5.24134455084237e-12,"4","PRELID3B"
"LRG11",2.67743897752827e-16,1.2683632956232,0.196,0.07,5.24965460323968e-12,"4","LRG1"
"FZD9",2.69112407738229e-16,0.422407101428324,0.335,0.155,5.27648697852345e-12,"4","FZD9"
"SLC25A162",2.71512567367625e-16,0.372195282298572,0.619,0.356,5.32354690837702e-12,"4","SLC25A16"
"ZNF2512",2.73733054465756e-16,0.502308840849746,0.545,0.304,5.36708399891008e-12,"4","ZNF251"
"RP3-454G6.21",2.78885375192352e-16,0.464378944697238,0.381,0.187,5.46810555139644e-12,"4","RP3-454G6.2"
"COLCA21",2.7891014991189e-16,0.600534590248188,0.261,0.108,5.46859130932243e-12,"4","COLCA2"
"SLC25A31",2.94490424408181e-16,0.411806962443145,0.315,0.144,5.77407375137121e-12,"4","SLC25A31"
"FAM26F2",2.96317968680141e-16,0.743135807749891,0.261,0.109,5.80990641191153e-12,"4","FAM26F"
"CUTC2",2.98840017008235e-16,0.277336921717435,0.634,0.366,5.85935621348046e-12,"4","CUTC"
"OXTR1",2.99918378079721e-16,0.436659073345929,0.526,0.293,5.88049963900909e-12,"4","OXTR"
"GLE12",3.02892491469761e-16,0.466409967116425,0.489,0.267,5.9388130802476e-12,"4","GLE1"
"TMEM1732",3.07152125777552e-16,0.664442366724474,0.304,0.136,6.02233173012046e-12,"4","TMEM173"
"OSTF12",3.11515628532481e-16,0.271027331503952,0.719,0.418,6.10788692863635e-12,"4","OSTF1"
"PNPLA32",3.18458572430597e-16,0.278330021492567,0.585,0.333,6.24401722964672e-12,"4","PNPLA3"
"LRRC74B1",3.2401913784046e-16,0.510707998896005,0.392,0.196,6.3530432356379e-12,"4","LRRC74B"
"TMEM2682",3.24802302659526e-16,0.354061972823465,0.673,0.393,6.36839874824532e-12,"4","TMEM268"
"RHBDD12",3.25732193739427e-16,0.275788823395497,0.898,0.539,6.38663112264895e-12,"4","RHBDD1"
"ARHGAP11A2",3.26687340693218e-16,0.959761229513526,0.335,0.162,6.40535868897193e-12,"4","ARHGAP11A"
"CPB21",3.27246542840218e-16,0.326465579366917,0.44,0.236,6.41632296546816e-12,"4","CPB2"
"C20orf961",3.27731416167053e-16,0.378164129455347,0.443,0.234,6.4258298767874e-12,"4","C20orf96"
"NMRK12",3.36006434489069e-16,0.389683859000343,0.659,0.378,6.58807816102718e-12,"4","NMRK1"
"ZNF48.11",3.36825839984326e-16,0.642890921517953,0.222,0.085,6.60414424457268e-12,"4","ZNF48.1"
"CDNF2",3.37341441033158e-16,0.467402959874317,0.599,0.348,6.61425363433713e-12,"4","CDNF"
"RAB27A2",3.39527995027157e-16,0.297408480895132,0.872,0.527,6.65712539849747e-12,"4","RAB27A"
"RAE1",3.406408914365e-16,0.290698464915972,0.418,0.209,6.67894595839545e-12,"4","RAE1"
